scenario_id,market,category,exchange,quality,overall_score,english_customer_question,expected_bot_answer_english,actual_bot_answer_localized,actual_bot_answer_english,original_customer_text,expected_localized_reply,actual_action,actual_register
q3_ph_conv_001,philippines,cooperative_customer,1,good,0.917,"Hi, I have a bank referral. I am interested in coverage for my family. What are the options?","Expected answer should ask need type. Reason: Starts with needs-based selling instead of product pushing. Key terms: family protection, coverage, premium.","Sige po. Para ma-check ang tamang coverage, ito po ba ay for yourself, family protection, o pagdagdag ng beneficiary or rider? Gusto niyo po bang i-continue natin?","Okay. To check the right coverage, is this for yourself, family protection, or adding a beneficiary or rider? Would you like us to continue?","Hi po, may bank referral ako. Interested ako sa coverage for my family. Ano options?","Sige po, thank you for sharing. For family protection, usually tinitingnan muna kung sino ang gusto ninyong protektahan, magkano ang target coverage, at kung monthly or annual premium ang comfortable. Para ma-guide ko kayo, coverage ba ito mainly for income protection, education fund, or loan protection?",qualify_life_insurance_lead,taglish
q3_ph_conv_001,philippines,cooperative_customer,2,partial,0.615,Mostly income protection. I have a wife and two kids.,"Expected answer should collect budget range. Reason: Collects enough data while protecting privacy. Key terms: monthly income, existing insurance, budget range.","Pasensya na po, ayokong manghula. Pwede ko kayong i-connect sa advisor, o magtanong po kayo tungkol sa premium, policy, beneficiary, rider, lapse, o coverage. Gusto niyo po bang i-continue natin?","Sorry, I do not want to guess. I can connect you to an advisor, or you can ask about premium, policy, beneficiary, rider, lapse, or coverage. Would you like us to continue?",Mostly income protection po. May wife and two kids ako.,"Gets ko po. For income protection, importante malaman ang approximate monthly income, existing insurance if any, at budget range. Hindi ko po kailangan ng exact private details dito. Range lang muna, like below 2k, 2k to 5k, or above 5k pesos monthly premium, okay na for initial recommendation.",localized_fallback,taglish
q3_ph_conv_001,philippines,cooperative_customer,3,partial,0.698,"Maybe a 3,000 pesos monthly budget. I do not have existing insurance.","Expected answer should offer summary and escalate for quote. Reason: Gives useful direction while keeping quote and underwriting boundaries clear. Key terms: underwriting, licensed advisor, quotation.","Pasensya na po, ayokong manghula. Pwede ko kayong i-connect sa advisor, o magtanong po kayo tungkol sa premium, policy, beneficiary, rider, lapse, o coverage. Gusto niyo po bang i-continue natin?","Sorry, I do not want to guess. I can connect you to an advisor, or you can ask about premium, policy, beneficiary, rider, lapse, or coverage. Would you like us to continue?",Siguro 3k monthly budget. Wala pa akong existing insurance.,"Noted po, 3k monthly and no existing insurance. Good starting point po yan for basic family protection, pero final options depend on age, health declaration, and insurer underwriting. I can summarize the likely plan types and then connect you to a licensed advisor for the official quotation.",localized_fallback,taglish
q3_ph_conv_002,philippines,cooperative_customer,1,good,0.75,I want to add a beneficiary to my life insurance. How do I do that?,"Expected answer should explain process boundary. Reason: Keeps the bot from handling sensitive account servicing directly. Key terms: beneficiary, policy owner, servicing.","Sige po. Para malaman ang tamang coverage, ito po ba ay para sa sarili, family protection, o pagdagdag ng benepisyaryo o rider? Gusto niyo po bang magpatuloy?","Okay. To know the right coverage, is this for yourself, family protection, or adding a beneficiary or rider? Would you like to continue?",Gusto ko pong magdagdag ng beneficiary sa life insurance ko. Paano po?,"Pwede po kayong mag-request ng beneficiary update sa policy servicing channel. Kailangan po munang ma-verify ang policy owner bago tanggapin ang pagbabago. Dito, maaari ko lang ipaliwanag ang general steps at hindi ko po kukunin ang buong personal details ng beneficiary.",qualify_life_insurance_lead,filipino
q3_ph_conv_002,philippines,cooperative_customer,2,partial,0.615,Can I just give my child's name here?,"Expected answer should redirect to verified channel. Reason: Protects PII and explains the right process. Key terms: official servicing form, verified channel.","Pasensya na po, ayokong manghula. Pwede ko kayong i-connect sa advisor, o magtanong po kayo tungkol sa premium, policy, benepisyaryo, rider, lapse, o coverage. Gusto niyo po bang magpatuloy?","Sorry, I do not want to guess. I can connect you to an advisor, or you can ask about premium, policy, beneficiary, rider, lapse, or coverage. Would you like to continue?",Pwede ko bang ibigay na lang dito pangalan ng anak ko?,"Mas mabuti pong huwag ibigay dito ang full personal details. Para safe, gamitin natin ang official servicing form or advisor-assisted process. Usually hihingin doon ang relationship, complete name, birth date, and supporting details, pero sa verified channel po dapat ilagay.",localized_fallback,filipino
q3_ph_conv_002,philippines,cooperative_customer,3,partial,0.698,"Okay, I just want to know whether there is a fee for this.","Expected answer should offer handoff. Reason: Avoids inventing a fee rule. Key terms: policy-specific, insurer rules, servicing team.","Pasensya na po, ayokong manghula. Pwede ko kayong i-connect sa advisor, o magtanong po kayo tungkol sa premium, policy, benepisyaryo, rider, lapse, o coverage. Gusto niyo po bang magpatuloy?","Sorry, I do not want to guess. I can connect you to an advisor, or you can ask about premium, policy, beneficiary, rider, lapse, or coverage. Would you like to continue?","Okay, gusto ko na lang malaman kung may fee ba ito.","Sa maraming policy servicing requests, maaaring walang fee, pero policy-specific po ito at depende sa insurer rules. I-check po natin sa official servicing team para hindi tayo magbigay ng maling commitment. Gusto ninyo po bang i-route ko kayo sa servicing request path?",localized_fallback,filipino
q3_ph_conv_003,philippines,cooperative_customer,1,partial,0.698,"Which is better, term insurance or insurance with an investment component?","Expected answer should ask priority. Reason: Frames the decision around needs and avoids product bias. Key terms: term insurance, investment component, coverage.","Pasensya na po, ayokong manghula. Pwede ko kayong i-connect sa advisor, o magtanong po kayo tungkol sa premium, policy, beneficiary, rider, lapse, o coverage. Gusto niyo po bang i-continue natin?","Sorry, I do not want to guess. I can connect you to an advisor, or you can ask about premium, policy, beneficiary, rider, lapse, or coverage. Would you like us to continue?","Ano po mas okay, term insurance or may investment na insurance?","Depende po sa goal. Term insurance is usually focused on protection for a fixed period. Insurance with investment component can combine protection and fund value, pero hindi guaranteed ang market-linked performance. Ang unang tanong po: priority ninyo ba ay maximum coverage at lower premium, or protection plus long-term savings discipline?",localized_fallback,taglish
q3_ph_conv_003,philippines,cooperative_customer,2,partial,0.615,"I want protection, but I also want to get something in the future.","Expected answer should collect budget and risk. Reason: Adds practical warnings that matter for investment-linked products. Key terms: risk tolerance, early withdrawal, missed payments.","Pasensya na po, ayokong manghula. Pwede ko kayong i-connect sa advisor, o magtanong po kayo tungkol sa premium, policy, beneficiary, rider, lapse, o coverage. Gusto niyo po bang i-continue natin?","Sorry, I do not want to guess. I can connect you to an advisor, or you can ask about premium, policy, beneficiary, rider, lapse, or coverage. Would you like us to continue?",Gusto ko sana protection pero may makukuha din in future.,"Gets po. Kung gusto ninyo ng future value, kailangan nating pag-usapan ang budget, risk tolerance, at kung gaano katagal ninyo kayang ituloy ang premium. Important din po malaman na early withdrawal or missed payments may affect benefits. Ano pong monthly budget range ninyo?",localized_fallback,taglish
q3_ph_conv_003,philippines,cooperative_customer,3,partial,0.615,"Around 4,000 pesos monthly, but I do not want too much risk.","Expected answer should summarize and refer. Reason: Shows adaptation to customer preference and compliance boundary. Key terms: benefit illustrations, charges, risks.","Pasensya na po, ayokong manghula. Pwede ko kayong i-connect sa advisor, o magtanong po kayo tungkol sa premium, policy, beneficiary, rider, lapse, o coverage. Gusto niyo po bang i-continue natin?","Sorry, I do not want to guess. I can connect you to an advisor, or you can ask about premium, policy, beneficiary, rider, lapse, or coverage. Would you like us to continue?","Mga 4k monthly, pero ayoko ng risky masyado.","Noted po: 4k monthly and conservative risk profile. I can mark you as interested in protection with possible savings value, but a licensed advisor should show exact benefit illustrations, charges, and risks before you decide. Hindi po ako magpo-promise ng future fund value.",localized_fallback,taglish
q3_id_conv_004,indonesia,cooperative_customer,1,partial,0.698,I want to apply for a personal loan. What are the main requirements?,"Expected answer should ask income source. Reason: Starts with qualification without asking sensitive identifiers. Key terms: pengajuan, cicilan, riwayat kredit.","Maaf, saya tidak ingin memberi informasi yang tidak pasti. Saya bisa bantu soal cicilan, tenor, denda, DP, jatuh tempo, angsuran, atau pembiayaan. Apakah Bapak/Ibu ingin saya lanjutkan?","Sorry, I do not want to give uncertain information. I can help with installments, tenor, penalties, down payment, due date, monthly payments, or financing. Would you like me to continue?",Saya ingin ajukan pinjaman pribadi. Syarat utamanya apa saja?,"Baik, Bapak/Ibu. Secara umum, pengajuan biasanya melihat usia, domisili, pekerjaan atau sumber penghasilan, kemampuan membayar cicilan, riwayat kredit, dan dokumen pendukung. Untuk awal, apakah penghasilan Bapak/Ibu berasal dari karyawan tetap, usaha, atau pekerjaan lepas?",localized_fallback,formal_id
