scenario_id,market,category,good_count,partial_count,weak_count,fallback_count,all3_good,zero_good,all3_fallback,q1_quality,q1_score,q1_fallback,q1_guess_phrase_or_equiv,q1_actual_action,q1_english_question,q2_quality,q2_score,q2_fallback,q2_guess_phrase_or_equiv,q2_actual_action,q2_english_question,q3_quality,q3_score,q3_fallback,q3_guess_phrase_or_equiv,q3_actual_action,q3_english_question
q3_id_conv_004,indonesia,cooperative_customer,1,2,0,2,False,False,False,partial,0.698,True,True,localized_fallback,I want to apply for a personal loan. What are the main requirements?,partial,0.698,True,True,localized_fallback,I am a permanent employee with a monthly salary.,good,0.833,False,False,handle_finance_qualification,"Around 20 million rupiah, with a 12-month tenor."
q3_id_conv_005,indonesia,cooperative_customer,2,0,1,1,False,False,False,good,0.865,True,True,localized_fallback,I want motorcycle financing. What should I prepare?,weak,0.45,False,False,handle_installment_reminder,"A new motorcycle, and I do not want the installment to be more than 1.5 million rupiah.",good,0.75,False,False,handle_finance_qualification,Is a small down payment possible?
q3_id_conv_009,indonesia,payment_or_renewal_difficulty,3,0,0,0,True,False,False,good,1.0,False,False,explain_penalty_or_due_date,I will pay this week. Please do not count it as late yet.,good,0.833,False,False,handle_installment_reminder,"If I pay on Friday, can the penalty be removed?",good,0.833,False,False,handle_installment_reminder,"Okay, send me safe payment options."
q3_id_conv_010,indonesia,payment_or_renewal_difficulty,2,1,0,0,False,False,False,good,0.833,False,False,explain_penalty_or_due_date,My salary is delayed. Can the installment be moved by a few days?,good,0.833,False,False,handle_installment_reminder,It is not that I do not want to pay. I am just waiting for payroll.,partial,0.55,False,False,offer_payment_support,"If I cannot pay the full amount yet, can I make a partial payment?"
q3_id_conv_014,indonesia,sector_specific_objection,0,2,1,2,False,True,False,partial,0.615,True,True,localized_fallback,I am an online ride-hailing driver. My income is not fixed. Can I apply for a loan?,weak,0.45,False,False,handle_installment_reminder,Some days orders are busy and some days they are quiet. I am afraid I will be considered unable to pay.,partial,0.615,True,True,localized_fallback,Can I send a screenshot from the app?
q3_id_conv_015,indonesia,sector_specific_objection,0,3,0,3,False,True,True,partial,0.615,True,True,localized_fallback,"I own a small food stall, but I do not have a salary slip. Can I still apply?",partial,0.698,True,True,localized_fallback,"It has been running for 3 years, with turnover around 1 million rupiah per day.",partial,0.615,True,True,localized_fallback,I need 10 million rupiah to add stock.
q3_id_conv_019,indonesia,mixed_english_finance_terms,1,2,0,2,False,False,False,good,0.833,False,False,handle_finance_qualification,"I want to check the loan limit, with a 12-month tenor. What is the approximate interest?",partial,0.698,True,True,localized_fallback,"I need 30 million rupiah, and an affordable monthly payment is around 3 million.",partial,0.615,True,True,localized_fallback,"If it is pre-approved, is disbursement guaranteed?"
q3_id_conv_020,indonesia,mixed_english_finance_terms,1,2,0,2,False,False,False,partial,0.615,True,True,localized_fallback,Can I top up the loan if there is still outstanding balance?,good,0.833,False,False,explain_penalty_or_due_date,"I was late once, but I paid it off that same month.",partial,0.615,True,True,localized_fallback,"If I settle earlier, is there a discount?"
q3_id_conv_024,indonesia,colloquial_speech,2,1,0,1,False,False,False,good,0.917,False,False,handle_installment_reminder,Is taking a loan safe? I am afraid of getting trapped in installments.,partial,0.698,True,True,localized_fallback,"It is to cover household needs first, then my salary will come in.",good,0.833,False,False,handle_installment_reminder,I also have a motorcycle installment of 900 thousand rupiah.
q3_id_conv_025,indonesia,colloquial_speech,1,2,0,3,False,False,True,good,0.782,True,True,localized_fallback,Why are there so many admin fees? It makes me not want to apply.,partial,0.615,True,True,localized_fallback,"If the admin fee is deducted from the disbursement, does that mean I receive less money?",partial,0.615,True,True,localized_fallback,"Okay, so I should ask for the details first."
