scenario_id,category,exchange,customer_text,expected_action,actual_action,quality,overall_score,retrieval_status,retrieval_reason,human_escalation_required,spoken_text,top_source
q1_assess_001,cooperative_customer,1,I run a kirana store and need working capital for stock. Can I apply for a Lendingkart business loan online?,guide_application,guide_application,good,1.0,answered,sufficient_retrieval_confidence,False,"You can start through the official Lendingkart online application flow. The usual flow is eligibility check, basic business details, document upload, offer review, agreement signing, and disbursal after approval. Would you like me to explain the eligibility checks next?",lendingkart_faq_application_online
q1_assess_001,cooperative_customer,2,What details should I keep ready before starting the form?,answer_question,answer_question,good,1.0,answered,sufficient_retrieval_confidence,False,"Before starting the business loan form, keep KYC, bank statements, business details, registration proof, GST records if applicable, and income or financial records ready. Use the official form for document upload. Is there anything else you want to check about the loan?",lendingkart_eligibility_requirements
q1_assess_001,cooperative_customer,3,"If everything is okay, can approval happen quickly?",answer_eligibility,answer_eligibility,good,1.0,answered,sufficient_retrieval_confidence,False,"The process can be fast, but approval is not automatic. It depends on eligibility checks, documents, credit profile, and final verification. Would you like me to list the documents usually needed?",lendingkart_cibil_business_loan
q1_assess_002,cooperative_customer,1,My small restaurant needs funds for vendor payments. What kind of business loan is this?,answer_question,answer_question,good,1.0,answered,sufficient_retrieval_confidence,False,"This is a business loan use case, often an MSME working capital need for stock, vendor payments, operations, or expansion. The final product and offer depend on eligibility and verification. Is there anything else you want to check about the loan?",lendingkart_types_of_business_loans
q1_assess_002,cooperative_customer,2,How much amount can a small business usually ask for?,answer_question,answer_question,good,1.0,answered,sufficient_retrieval_confidence,False,"The KB says Lendingkart business loans can go up to Rs. 50 lakh, subject to eligibility and verification. Is there anything else you want to check about the loan?",lendingkart_business_loan_overview
q1_assess_002,cooperative_customer,3,And what is the tenure?,answer_question,answer_question,good,1.0,answered,sufficient_retrieval_confidence,False,"The KB lists business loan tenure as minimum 2 years. If that tenure is too long for a three-month need, review the offer carefully and compare alternatives before accepting. Is there anything else you want to check about the loan?",lendingkart_business_loan_overview
q1_assess_003,cooperative_customer,1,I own a boutique and want to expand before festival season. What eligibility things matter?,answer_eligibility,answer_eligibility,good,1.0,answered,sufficient_retrieval_confidence,False,"Common eligibility factors include business turnover, business vintage, documents, repayment capacity, and credit profile. Final approval still depends on verification. Would you like me to list the documents usually needed?",lendingkart_cibil_business_loan
q1_assess_003,cooperative_customer,2,Is CIBIL checked for this?,answer_question,answer_eligibility,good,0.86,answered,sufficient_retrieval_confidence,False,"Checking your score is important, and keeping up with your payment history will allow you to do that. However, there are times when checking can hurt your actual score! So how do you avoid this? Soft checks Hard checks Soft inquiries do not hurt your score. Soft inquiries are when an enquiry is requested by: Credit bureaus Third party authorised institutes An infinite amount of these checks are okay and. Would you like me to list the documents usually needed?",lendingkart_cibil_business_loan
q1_assess_003,cooperative_customer,3,"Okay, then what should I improve first?",answer_eligibility,answer_eligibility,good,0.917,answered,sufficient_retrieval_confidence,False,"Focus on accurate business records, complete documents, stable turnover, timely repayments, and a healthy credit profile. These can support eligibility, but approval is still subject to verification. Would you like me to list the documents usually needed?",lendingkart_schedule_of_charges
q1_assess_004,cooperative_customer,1,I operate a pharmacy. Can you tell me the usual documents for a business loan?,answer_question,answer_question,good,1.0,answered_with_caution,sufficient_retrieval_confidence,False,"Based on the approved Lendingkart information I found, Keep basic KYC, bank statements, business registration proof, GST records if applicable, and income-tax or financial records if requested. Do not share document numbers in this chat. Is there anything else you want to check about the loan?",lendingkart_faq_documents_unsecured
q1_assess_004,cooperative_customer,2,Do I need to upload them online or send them on WhatsApp?,guide_application,guide_application,good,1.0,answered,sufficient_retrieval_confidence,False,"Use the official Lendingkart application flow for uploading documents, not random WhatsApp numbers. You can apply online, check eligibility, upload required documents securely, review the offer, and sign only after reading the terms. Would you like me to explain the eligibility checks next?",lendingkart_faq_application_online
q1_assess_004,cooperative_customer,3,Can you remind me what not to share here?,warn_customer_safety,warn_customer_safety,good,1.0,answered,sufficient_retrieval_confidence,False,"Please do not share OTPs, PAN, Aadhaar, UPI IDs, transaction IDs, bank details, or document numbers in this chat. Use only official secure channels for sensitive information. If anyone has asked you for upfront money, please do not pay and contact official support.",lendingkart_privacy_policy
