scenario_id,market,category,exchange,business_situation,english_customer_question,expected_bot_answer_english,expected_response_type,original_customer_text,original_expected_bot_reply
q3_ph_conv_001,philippines,cooperative_customer,1,Customer received a bank referral and wants family protection options.,"Hi, I have a bank referral. I am interested in coverage for my family. What are the options?","The bot should ask need type. Starts with needs-based selling instead of product pushing. It should cover these terms or ideas: family protection, coverage, premium.",welcome_and_needs_discovery,"Hi po, may bank referral ako. Interested ako sa coverage for my family. Ano options?","Sige po, thank you for sharing. For family protection, usually tinitingnan muna kung sino ang gusto ninyong protektahan, magkano ang target coverage, at kung monthly or annual premium ang comfortable. Para ma-guide ko kayo, coverage ba ito mainly for income protection, education fund, or loan protection?"
q3_ph_conv_001,philippines,cooperative_customer,2,Customer received a bank referral and wants family protection options.,Mostly income protection. I have a wife and two kids.,"The bot should collect budget range. Collects enough data while protecting privacy. It should cover these terms or ideas: monthly income, existing insurance, budget range.",qualification_question,Mostly income protection po. May wife and two kids ako.,"Gets ko po. For income protection, importante malaman ang approximate monthly income, existing insurance if any, at budget range. Hindi ko po kailangan ng exact private details dito. Range lang muna, like below 2k, 2k to 5k, or above 5k pesos monthly premium, okay na for initial recommendation."
q3_ph_conv_001,philippines,cooperative_customer,3,Customer received a bank referral and wants family protection options.,"Maybe a 3,000 pesos monthly budget. I do not have existing insurance.","The bot should offer summary and escalate for quote. Gives useful direction while keeping quote and underwriting boundaries clear. It should cover these terms or ideas: underwriting, licensed advisor, quotation.",next_step_with_caveat,Siguro 3k monthly budget. Wala pa akong existing insurance.,"Noted po, 3k monthly and no existing insurance. Good starting point po yan for basic family protection, pero final options depend on age, health declaration, and insurer underwriting. I can summarize the likely plan types and then connect you to a licensed advisor for the official quotation."
q3_ph_conv_002,philippines,cooperative_customer,1,Customer wants to add a beneficiary to an existing life policy.,I want to add a beneficiary to my life insurance. How do I do that?,"The bot should explain process boundary. Keeps the bot from handling sensitive account servicing directly. It should cover these terms or ideas: beneficiary, policy owner, servicing.",servicing_guidance,Gusto ko pong magdagdag ng beneficiary sa life insurance ko. Paano po?,"Pwede po kayong mag-request ng beneficiary update sa policy servicing channel. Kailangan po munang ma-verify ang policy owner bago tanggapin ang pagbabago. Dito, maaari ko lang ipaliwanag ang general steps at hindi ko po kukunin ang buong personal details ng beneficiary."
q3_ph_conv_002,philippines,cooperative_customer,2,Customer wants to add a beneficiary to an existing life policy.,Can I just give my child's name here?,"The bot should redirect to verified channel. Protects PII and explains the right process. It should cover these terms or ideas: official servicing form, verified channel.",privacy_protection,Pwede ko bang ibigay na lang dito pangalan ng anak ko?,"Mas mabuti pong huwag ibigay dito ang full personal details. Para safe, gamitin natin ang official servicing form or advisor-assisted process. Usually hihingin doon ang relationship, complete name, birth date, and supporting details, pero sa verified channel po dapat ilagay."
q3_ph_conv_002,philippines,cooperative_customer,3,Customer wants to add a beneficiary to an existing life policy.,"Okay, I just want to know whether there is a fee for this.","The bot should offer handoff. Avoids inventing a fee rule. It should cover these terms or ideas: policy-specific, insurer rules, servicing team.",policy_dependent_answer,"Okay, gusto ko na lang malaman kung may fee ba ito.","Sa maraming policy servicing requests, maaaring walang fee, pero policy-specific po ito at depende sa insurer rules. I-check po natin sa official servicing team para hindi tayo magbigay ng maling commitment. Gusto ninyo po bang i-route ko kayo sa servicing request path?"
q3_ph_conv_003,philippines,cooperative_customer,1,Customer is comparing term life and investment-linked insurance.,"Which is better, term insurance or insurance with an investment component?","The bot should ask priority. Frames the decision around needs and avoids product bias. It should cover these terms or ideas: term insurance, investment component, coverage.",comparison_explanation,"Ano po mas okay, term insurance or may investment na insurance?","Depende po sa goal. Term insurance is usually focused on protection for a fixed period. Insurance with investment component can combine protection and fund value, pero hindi guaranteed ang market-linked performance. Ang unang tanong po: priority ninyo ba ay maximum coverage at lower premium, or protection plus long-term savings discipline?"
q3_ph_conv_003,philippines,cooperative_customer,2,Customer is comparing term life and investment-linked insurance.,"I want protection, but I also want to get something in the future.","The bot should collect budget and risk. Adds practical warnings that matter for investment-linked products. It should cover these terms or ideas: risk tolerance, early withdrawal, missed payments.",needs_clarification,Gusto ko sana protection pero may makukuha din in future.,"Gets po. Kung gusto ninyo ng future value, kailangan nating pag-usapan ang budget, risk tolerance, at kung gaano katagal ninyo kayang ituloy ang premium. Important din po malaman na early withdrawal or missed payments may affect benefits. Ano pong monthly budget range ninyo?"
q3_ph_conv_003,philippines,cooperative_customer,3,Customer is comparing term life and investment-linked insurance.,"Around 4,000 pesos monthly, but I do not want too much risk.","The bot should summarize and refer. Shows adaptation to customer preference and compliance boundary. It should cover these terms or ideas: benefit illustrations, charges, risks.",advisor_handoff_with_summary,"Mga 4k monthly, pero ayoko ng risky masyado.","Noted po: 4k monthly and conservative risk profile. I can mark you as interested in protection with possible savings value, but a licensed advisor should show exact benefit illustrations, charges, and risks before you decide. Hindi po ako magpo-promise ng future fund value."
q3_id_conv_004,indonesia,cooperative_customer,1,Customer wants to understand eligibility for a personal loan.,I want to apply for a personal loan. What are the main requirements?,"The bot should ask income source. Starts with qualification without asking sensitive identifiers. It should cover these terms or ideas: pengajuan, cicilan, riwayat kredit.",eligibility_overview,Saya ingin ajukan pinjaman pribadi. Syarat utamanya apa saja?,"Baik, Bapak/Ibu. Secara umum, pengajuan biasanya melihat usia, domisili, pekerjaan atau sumber penghasilan, kemampuan membayar cicilan, riwayat kredit, dan dokumen pendukung. Untuk awal, apakah penghasilan Bapak/Ibu berasal dari karyawan tetap, usaha, atau pekerjaan lepas?"
q3_id_conv_004,indonesia,cooperative_customer,2,Customer wants to understand eligibility for a personal loan.,I am a permanent employee with a monthly salary.,"The bot should collect amount and tenor. Explains next qualification step and sets approval boundary. It should cover these terms or ideas: penghasilan bulanan, tenor, persetujuan.",qualification_question,Saya karyawan tetap dengan gaji bulanan.,"Terima kasih. Untuk karyawan tetap, biasanya dibutuhkan estimasi penghasilan bulanan, lama bekerja, jumlah pinjaman yang diinginkan, dan pilihan tenor. Saya tidak bisa menjamin persetujuan, tetapi bisa bantu cek kecocokan awal. Kisaran pinjaman yang Bapak/Ibu butuhkan berapa?"
q3_id_conv_004,indonesia,cooperative_customer,3,Customer wants to understand eligibility for a personal loan.,"Around 20 million rupiah, with a 12-month tenor.","The bot should offer installment simulation. Keeps the answer useful and grounded in process. It should cover these terms or ideas: simulasi resmi, kemampuan bayar, verifikasi dokumen.",next_step_affordability,"Sekitar 20 juta, tenor 12 bulan.","Baik, 20 juta dengan tenor 12 bulan. Langkah berikutnya adalah memperkirakan cicilan per bulan dan memastikan cicilan masih sesuai kemampuan bayar. Nanti simulasi resmi tetap mengikuti kebijakan penyedia dan hasil verifikasi dokumen."
q3_id_conv_005,indonesia,cooperative_customer,1,Customer wants a motorbike financing explanation.,I want motorcycle financing. What should I prepare?,"The bot should ask vehicle and budget. Uses familiar Indonesian finance terms and asks practical next questions. It should cover these terms or ideas: DP, tenor, cicilan.",simple_product_explanation,"Mau kredit motor, kira-kira yang harus disiapkan apa ya?","Bisa. Untuk kredit motor biasanya yang dicek adalah DP, tenor, cicilan per bulan, data pekerjaan atau penghasilan, dan dokumen pendukung. Biar pas, motornya baru atau bekas, dan target cicilan per bulan kira-kira berapa?"
q3_id_conv_005,indonesia,cooperative_customer,2,Customer wants a motorbike financing explanation.,"A new motorcycle, and I do not want the installment to be more than 1.5 million rupiah.","The bot should prepare simulation inputs. Balances affordability with total-cost warning. It should cover these terms or ideas: harga motor, DP, total biaya.",budget_alignment,"Motor baru, cicilan jangan lebih dari 1,5 juta.","Oke, berarti kita jaga cicilan maksimal sekitar 1,5 juta per bulan. Biasanya pilihan tenor lebih panjang bisa menurunkan cicilan, tapi total biaya bisa lebih besar. Saya bisa bantu susun pertanyaan untuk simulasi resmi: harga motor, DP yang siap dibayar, dan tenor pilihan."
q3_id_conv_005,indonesia,cooperative_customer,3,Customer wants a motorbike financing explanation.,Is a small down payment possible?,"The bot should recommend scenario comparison. Does not overpromise and gives a clear next action. It should cover these terms or ideas: profil kredit, program, skenario DP.",conditional_answer,Kalau DP kecil bisa?,"Bisa saja ada opsi DP kecil, tapi tergantung program, profil kredit, dan kebijakan penyedia. DP kecil biasanya membuat cicilan atau total biaya lebih tinggi. Jadi sebaiknya kita bandingkan 2 sampai 3 skenario DP dulu sebelum memilih."
q3_ph_conv_006,philippines,payment_or_renewal_difficulty,1,Customer says they will pay this week and wants no consequence.,"I will pay this week, please do not cancel it yet. I am just short on money right now.","The bot should explain payment consequence. Matches the user's desired style: empathy plus firm boundary. It should cover these terms or ideas: premium, due date, grace period, lapse.",empathetic_payment_boundary,"I will pay this week po, huwag muna i-cancel. Medyo short lang talaga ngayon.","I understand po, and thank you for telling us early. Hindi ko po ma-o-override ang policy rules, so kailangan pa rin ma-settle ang premium before the due date or within any allowed grace period. If unpaid beyond that, may risk po ng lapse or reduced benefits depending on the policy."
q3_ph_conv_006,philippines,payment_or_renewal_difficulty,2,Customer says they will pay this week and wants no consequence.,But I am sure I will pay this Friday. Can you mark it as paid already?,"The bot should offer payment channel. Prevents false record update while still helping. It should cover these terms or ideas: posted, official payment channels, receipt.",cannot_mark_paid,Pero sure naman ako this Friday. Can you mark it paid na?,"Hindi ko po siya pwedeng i-mark as paid until actual payment is received and posted. What I can do is note your intended payment date and guide you to official payment channels, para mabilis ma-post at may receipt kayo."
q3_ph_conv_006,philippines,payment_or_renewal_difficulty,3,Customer says they will pay this week and wants no consequence.,What happens if I am late by two days?,"The bot should recommend servicing check. Answers consequence without inventing exact policy rules. It should cover these terms or ideas: grace period, benefits, policy may lapse.",policy_dependent_risk,What happens if ma-late ako by two days?,"Possible po na covered pa rin kung pasok sa grace period, pero policy-specific iyon. If lagpas sa allowed period, benefits can be affected or the policy may lapse. Best action po is to pay before the posted deadline or let me connect you to servicing to check the exact grace-period rule."
q3_ph_conv_007,philippines,payment_or_renewal_difficulty,1,Customer asks for premium holiday or pausing payment.,Can I stop paying the premium for two months?,"The bot should explain policy specific options. Gives relevant options without claiming they apply. It should cover these terms or ideas: premium, policy status, reinstatement.",option_boundary,Pwede ko bang ihinto muna ang bayad ng premium ng dalawang buwan?,"Naiintindihan ko po. Hindi ko po puwedeng i-approve agad ang paghinto ng premium dito, dahil depende iyon sa policy type at policy status. May ilang policy na may options tulad ng grace period, automatic premium loan, or reinstatement process, pero kailangan po itong i-check sa servicing team."
